Geneid,A1,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A2,A20,A21,A22,A23,A25,A26,A27,A28,A29,A3,A30,A31,A32,A33,A34,A35,A36,A37,A38,A4,A5,A6,A7,A8,A9,B1,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B2,B20,B21,B22,B23,B24,B25,B27,B28,B29,B3,B30,B31,B32,B33,B34,B35,B37,B38,B39,B4,B40,B42,B43,B45,B47,B48,B5,B6,B7,B8,B9,C1,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C3,C30,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C5,C6,C7,C8,C9
YAL013W,0,5.06919331823561,0,0,1.8166691100115,0,5.20064981070142,0,0,2.06890217959446,4.73625528577329,0,0,0,3.88536531000568,0,0,0,0,0,0,4.80977830677238,3.9690208000341,0,0,1.39654715469389,0,7.5767084638537,4.03445087168385,0,0,4.72428471890109,0,0,0,0.810301573521717,2.93475361566476,0,5.73926523728144,2.23766906936775,0,0,0,2.56147334194193,6.8378447723153,0,5.75904291597628,0,4.5056666134781604,0,0,0,0,0,1.53810999144474,0.668346910412754,0,2.79332437426069,4.1600741034094,0,0,0,0,0,0,6.13833740738382,0,0,6.6091277484875,2.76676619795315,4.24459651041716,0,0,0,0,1.03838715055454,3.87679208935419,5.48910246268224,0,4.11619940200414,0,0,1.17174579212342,0,0,5.93946493407709,0,3.26532797432099,5.04358178971064,5.74507313677889,0,6.15953604599378,0,0,3.65255222572543,0,1.50182190068109,5.40942396547221,0,4.43120462702889,0,4.7281293500134,1.44396036491918,4.91107504027593,5.47066011927321,6.21900144250955,4.33912909782136,4.7117080230979,5.84765658954507,0,0,0,4.68386609558485,0,0,6.32647748696739,0,7.04339243305806,0,0,0,0,0,4.40920746050847,5.55146910524752
YAL014C,0,0,0,0,6.72943350411866,0,3.38542766683331,0,0,0.847129589690992,0,0,6.43114844637255,0,0,0,0,6.04363649274172,0,0,0,0,0,0,0,0,0,0,5.65603441635965,0,0,0,0,0,0,0,0,0,0,0,4.86141334831557,4.79711368069365,0,6.53431086539275,0,2.08406474224335,6.08373216483599,0,6.02377829299348,5.72666784312914,4.56025464655567,0,0,6.64356511127783,0,0,6.4374694749701,0,5.58141087749048,0,0,0,1.23884122569695,2.5414798393033,0,0.625275628017499,0,2.33262124607659,6.9772174558752,0,0,0,0,0,3.56361590673658,0,0,6.07037099480129,0,0,4.35710337743869,0,7.3782954905324,0,0,0,0,5.82292583744716,0,6.87862483091644,0,0,0,0,6.83723876921848,0,0,0,0,0,0,4.45963883857588,0,0,0,0,0,0,0,6.53796324816307,5.9651251464554,0,0,6.82218390775692,3.26075579174907,6.94814992491244,0,0,6.07848385048421,6.83066566972432,0,0,4.70090551629362,6.4012226198048,5.71602932662243
YAL015C,0,0,0,0,0,6.21313124546366,0,0,0,0,0,0,0,0,0,6.23140320105396,2.49439021224502,0.777287092880425,0,0,0,0,0,0,0,0,5.53788079423255,3.80199097625401,0,0,0,0,0,0,0,0,0,0,5.33320224903948,0,6.0177739872715,1.31556431627513,0,5.80515689158514,5.85040179750048,0,4.14617427266107,0,0,5.95048875672754,0,0,0,0,0,6.81963845112521,0,6.7519531737196,0,0,0,0,0,0,0,0,0,1.00669250165281,4.98520474912563,0,0,0,0,6.68703159559808,0,4.77337686996699,0,0,0,0,2.60532691730821,0,0,0,0,0,0,6.0273078311092,0,0,2.4838820412047,0,0,0,7.44019613837932,0,0,0,0,0,0,0,0,0,0,0,0,2.76898413977527,0,0,0,0,0,6.54279194209016,0,7.18086158810143,0,0,0,0,0,0,0,0,4.12373135581404
YAL016W,5.82516126933258,4.82367717830639,3.36461609974751,4.52925292941191,4.61735226333924,0,0,5.55668983344552,1.12761521360483,3.40422444537251,8.21732312775861,0,3.20490419080815,0,0.613453983666106,6.09793878556205,0,0,0,0.865145481543395,0,0,0,0,2.17313061324208,0,0,0,5.05189973770894,7.57224501337975,0,6.97847420471343,0.998844793325919,0,0,0,0,8.3466778758723,6.00548882851621,1.31413833806187,3.11356761728297,0,0,5.6161930689909,6.96865402203578,4.48439655940656,4.4765310340217,1.67197393681497,3.63240148747841,0,1.81158389146386,0,6.33132611999791,0,7.35861737761648,0,0.920218028288617,5.81679673591584,0,0,0,0,0,0,0,0,6.0963299723665,0,0,0,0,0,7.2361724643693,0,7.102020456248,4.85445203690679,4.15781997731293,4.93048515307135,0,6.50590787208244,6.34903173895316,0,0,0,0,0,0,6.12767851279718,6.68837936471427,3.00321591916201,6.28447001234313,0,0,0,0,0,1.15142643991535,0,0,4.91580807906529,0,6.67617199681384,0,3.28186762771748,0,0,0,0,0,0,5.60501238484073,8.07120182051855,0,3.97796853790732,2.40392886299311,0,7.29665524235291,0,0,0,0,0,0,2.12913449085365,4.1698797300556
YAL017W,0,4.6534291818589,0,0,0,0,0,0,8.07040981054002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9740956565374,0,4.42013483909514,0,0,0,0,0,7.78766549435296,4.8804101214088,0,7.21186673237457,5.38174054622991,0,2.26845917943364,0,4.87007947599261,3.11356761728297,0.802812232082545,0,0,0.680909380510776,0,0,0,0,0,0,0,0,7.04339702719,5.56480566310926,0,1.87860913144538,0,0,0,0,0,0,5.8792721355298,0,0.625275628017499,0,8.14773311605862,0,0,0,6.25693662418954,0,0,4.66410960864098,0,6.88134785512667,1.85668631046845,0,0,5.64840331668553,6.15722603183781,0,1.18053827024964,0,7.1176155023091,2.40773061427888,3.67221044377522,0,7.61283469276825,1.72115540333586,0,0,7.02455315531441,0,5.16225576109001,0,0,6.78017601311574,6.21342991173223,0,5.14995809164264,0,0,0,1.78647610000178,5.13767720052872,5.20425994206144,5.01956390284703,6.36997765640896,7.76007014822605,0,0,6.91331917738638,0,3.94575529571994,8.49721809114804,0,6.04977312393422,2.73144796971076,0,0,7.47125353265911,8.18173681878902,0
YAL019W,7.8685151785032,1.03612681939528,0,7.22991108346025,4.92747665106778,6.69849717155944,4.4093873845142,7.26527755945812,0,0.847129589690992,0,6.36791848390293,0,8.25651965514744,0,1.68390729420956,1.91874513811818,3.93339311845663,0,0,6.24509387641043,0,0,2.36577402495522,0,0,7.08108400772333,0,0,0,0,5.14442683262505,0,0,4.70306212362792,0,7.05630551686755,7.11323145438036,0,0,1.82852364103241,7.22785339490363,0,5.14248353060634,5.75694844916333,1.19912299469805,0,0,1.89319073122422,6.28997089609696,0,0,0,0,0,0,0,0,0,0,6.44226435121633,7.53193723046009,0,0,4.85519885522765,0,0,0,0,2.76676619795315,0,0,3.86939173578955,0,0,4.46457704294974,0,4.4577247450857,1.57586547376426,0,4.23254781418534,4.78093292116085,0,0,0,0,6.74930824006376,0,0,0,1.72115540333586,0,0,5.52248412366358,3.8584619892145,0,4.52255893216211,0,0,5.16701736438594,0,2.45960923754972,0,0,0,0,0,2.28614735977608,0,0,6.51294423356797,0,0,0,0,0,0,0,5.79685833973697,0,0,5.45735966142983,4.91535175756734,5.46026773256585,5.65243951345123
YAL020C,0,0,0,0,6.8288249523148,0,0,6.2746251644605,0,1.37731058409379,0,0,0,4.32560188072725,6.76954956786979,0,0,6.21979210779663,7.8152515420328,0,5.33611183319552,0,0,0,0,0,7.20221034964184,0,0,0,0,0,6.41556823040842,5.04454319597536,0,0,0,0,4.57232064798793,7.05048636821755,0,0,0,0,0,4.91456512759465,0,8.45467128597939,0,0,0,6.02481842351587,0,8.18761773628566,0,0,5.82718590055953,0,4.86439355224796,0,0,0,0,0,7.22017404353906,0,3.79095530079997,0,0,0,0,0,0,6.96466652713448,0,5.20295154574541,0,0,0,0,4.67688344714459,4.06432633485434,0,0,0,7.32268056214846,0,6.86931124231706,0,0,0,0,0,0,0,6.72010611897097,6.97241792764868,0,0,6.76358829761988,0,6.5548036292277,0,6.81067841168041,5.29066523896213,0,7.01419784211719,7.26830322174594,0,0,0,0,5.24999641895068,6.77436232984401,0,0,0,0,6.51642831598917,6.46660896546209,6.55560611640225,3.35060394452541,6.73594188504438,6.55151777735462,6.71007015542397
YAL021C,2.82855276095693,8.33793147345396,4.52908632416538,2.36234224653008,6.00150359792191,3.89205549579044,4.45450138053421,6.80173278848349,0,3.78478571753515,0,3.79109307849008,3.7367474705076,1.44990920670365,0,0,1.51296527618377,0,0,3.90360682577714,7.34447616235146,1.59861792407895,4.88292348211743,0,0,0,1.5736026914293,7.49523868150097,2.72140613082312,0,0,2.70023821534185,5.10628016515541,0,6.45165701722882,8.65879776313201,0,4.79319773977,0,0,5.34169692792143,5.22806517981799,2.86686693388797,6.6231021236506,8.05410410437495,0,0,5.95935469279872,3.63240148747841,0,3.64930080672558,0,3.21134136865222,0,3.70703222437726,4.0797855112941,0,7.61305753209065,3.82037853923135,0,2.82332401920449,0,4.67138400997428,2.5414798393033,2.99747891374965,0,1.6508991876633,4.01252308116769,7.74268588186734,1.96454775588579,0,0,0,0,5.19843045741592,5.34064708683865,4.53076383852544,2.64235424770703,5.85281685704475,3.85037896840197,5.80968923970618,0,0,8.36771813188616,0,0,0,3.37830085801696,7.66679303604072,0,0,7.83224804838994,0,0,6.68325542184251,0,7.57218326843594,8.19591851099371,0,0,0,3.85818311148428,0,0.788417177125472,0,0,6.07190659389321,5.91006482669816,0,3.48718565255818,7.56359984894321,0,0,3.97796853790732,2.67028086367859,6.45050951487289,0,0,0,0,5.8175365291534,5.45735966142983,0,1.82004095194834,6.10847721703807
YAL022C,0.817992774226867,0,0,0,5.0050820991795,3.15579980483601,0,6.56625102066413,7.6613886853663304,6.79767076172104,0,0,0,3.27195492121885,0,0,0,0,0,0,0,0,3.05832447835505,0,0,0,0,0,3.99280540618949,6.38332528271571,0,6.63366766476128,6.00895177931677,0,0,0,3.0835603685527,0,0,0,5.73634922076358,0,0,5.44814075799887,0,6.40244994415007,2.01345227787206,0,2.26314916855181,0,0,4.54482782050702,0,0,0,2.18126333242877,0,0,5.19496577204152,1.85309118719663,1.45235640204955,0,0,0,0,0,0,0,0,0,0,6.83559716154672,0,0,0,0,0,0,0,0,0,5.84034275236397,0,0,0,4.30478055045953,5.23282619444082,0,0,0,0,6.94978912410906,1.68930847020493,0,0,0,0,0,0,0,0,4.00020351984353,0,0,0,7.68048401998866,0,0,0,0,0,4.98996569354759,0,7.88046856093939,2.89503833343617,0,0,0,6.69390885419218,7.60148656166759,0,3.55264923600188,7.00922051541378,7.77809085033093,0
YAL023C,6.851033423385,5.39155721977484,0,0,0,0,0,6.89008377264994,0,0,3.51371191745038,3.79109307849008,0,2.98689041691774,0,9.06753821920161,6.5211144448866,7.27136555446216,0,0,7.15808155128369,7.52016874773957,7.93860849017305,7.65530111985172,0.908814817290855,5.44129724741761,6.57306802277713,3.73676407581701,5.70843288684693,7.36720887808413,0,3.49962879725939,0,5.27243647636872,0,6.08891411413661,0,0,7.88455578212657,7.46280043559943,4.98280246684563,0,5.97496041716817,7.23873843294711,6.0208998566982,4.52556838659058,0,0,0,4.63959022259021,4.43190717085226,4.66016891728699,2.62382488786004,5.40965124179523,0,6.61803891139786,0,0,5.58141087749048,8.30897995420957,0,4.26761368473491,0,7.52536915427796,4.03291818066666,3.56682853178962,0,6.76811851917338,5.75252920076075,6.55294429899482,0,0,3.27264731806552,6.8650968589822,8.69511445219325,3.97773992989145,5.71704314926076,6.21740433423985,7.80869879218215,6.06504861514198,6.15677205050231,0,0,0,0,4.04443267503986,2.40773061427888,0,0,0,6.98596644985699,2.76408175657006,8.181165704146,6.85338107838598,7.62778730999782,3.20855920973094,2.39908072121745,2.81807855162973,7.01267099575882,6.73146856034667,2.63787653708945,0,0,2.42305932828648,7.47445759068855,0,0,7.83796981824285,0,6.43528560730511,7.62906184880378,0,0,0,0,0,7.82330104318109,0,7.19120981572427,0,0,0,5.50650580043864,0,5.63609425403821
