"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"YAL067C",0.492539783818887,0.128307372826279,4.54743198681618,0.0282153472989293,0.977490396723155,0.999436863219939,"YAL067C"
"YAR002W",16.2702661730389,1.20741435806769,1.65433923590479,0.729846897095039,0.46548377472001,0.999436863219939,"YAR002W"
"YAR003W",16.6357221263968,-2.971257538163,2.57204664619117,-1.1552113732319,0.248003878437176,0.999436863219939,"YAR003W"
"YAR007C",18.3171524635696,0.604900154366644,1.47080859563342,0.411270478131887,0.680874214321862,0.999436863219939,"YAR007C"
"YAR008W",1.89864396733378,0.898559682367358,3.54509914754495,0.253465317885292,0.799908658596397,0.999436863219939,"YAR008W"
"YAR014C",16.2489551534565,-1.08628090348499,1.62992329806771,-0.666461363410651,0.505116251501023,0.999436863219939,"YAR014C"
"YAR015W",53.5807659619319,0.567219285172683,1.22515675615543,0.462976906687948,0.643380920189694,0.999436863219939,"YAR015W"
"YAR018C",19.8390747228449,-2.49452524035706,1.57500465169716,-1.58382087168382,0.113234488216762,0.999436863219939,"YAR018C"
"YAR019C",5.48575152553705,-5.38593872429514,2.33154754800852,-2.31002740171245,0.0208866371272281,0.714084308869557,"YAR019C"
"YAR020C",0.583471460386533,-2.0576895974391,5.05905564723847,-0.406733932361923,0.684203415571305,0.999436863219939,"YAR020C"
"YAR023C",1.55374696915867,1.32285968819912,5.07064387716489,0.26088593879694,0.794180468666314,0.999436863219939,"YAR023C"
"YAR027W",19.1092880858533,1.05231313125597,1.48223716154717,0.709949229823355,0.477735620378272,0.999436863219939,"YAR027W"
"YAR028W",16.0611517403046,0.451897904488738,2.08707934702784,0.216521669447918,0.828581135973858,0.999436863219939,"YAR028W"
"YAR031W",5.49431114148296,1.65997667691468,2.06287864346569,0.80468944800644,0.420998910248153,0.999436863219939,"YAR031W"
"YAR033W",6.76479037885073,-3.59457336666255,2.43031787802802,-1.47905481795625,0.13912566444428,0.999436863219939,"YAR033W"
"YAR035W",2.63727218444563,0.243214972094135,3.84359595625258,0.0632779758492786,0.94954515333634,0.999436863219939,"YAR035W"
"YAR042W",32.8915983601843,0.398694736705196,1.17520403083686,0.339255760058351,0.734417066783732,0.999436863219939,"YAR042W"
"YAR047C",0.417555212166826,-0.306099443906708,5.06978577572989,-0.0603771949047766,0.951855221344544,0.999436863219939,"YAR047C"
"YAR050W",0.044891234841284,0.239303068418312,5.07085675729695,0.0471918415115859,0.962360329809776,0.999436863219939,"YAR050W"
"YAR053W",0.793703213536161,-1.74729258023458,3.9483682920533,-0.442535359163752,0.65810184916146,0.999436863219939,"YAR053W"
"YAR071W",0.848354118068477,-2.52088269216704,5.05223197693313,-0.49896416151843,0.617804631857328,0.999436863219939,"YAR071W"
"YBL001C",48.9171976172958,1.32955990015814,0.731822931392662,1.81677813460693,0.0692510921379312,0.999436863219939,"YBL001C"
"YBL002W",85.8811058436059,0.00092090227316625,0.851901783711987,0.00108099582695274,0.999137490287363,0.999808277457748,"YBL002W"
"YBL003C",134.412769057054,0.0568601480346505,0.815099029914948,0.069758576501537,0.944385817981681,0.999436863219939,"YBL003C"
"YBL004W",94.516361760796,1.01421172709466,1.01492318939238,0.99929899887483,0.317649870268234,0.999436863219939,"YBL004W"
"YBL005W",44.8013960146267,2.43718325632713,1.27975233974775,1.90441789448694,0.0568557805033947,0.999436863219939,"YBL005W"
"YBL006C",27.5417215599741,0.561932837855797,1.05555231041624,0.532359061991166,0.594477333100449,0.999436863219939,"YBL006C"
"YBL007C",67.279856446344,-1.63044225252195,0.878885988736379,-1.85512372869446,0.063578560034486,0.999436863219939,"YBL007C"
"YBL008W",9.91373199995271,-2.18879440156859,2.36201393886248,-0.92666447287042,0.35410076884777,0.999436863219939,"YBL008W"
"YBL009W",4.23735024289179,-5.25982424152954,2.29666453843225,-2.29020135658123,0.0220096468352824,0.739525902528359,"YBL009W"
"YBL010C",2.11172463967125,-4.1994496354753,2.29354466241883,-1.8309866401496,0.0671025371812314,0.999436863219939,"YBL010C"
"YBL011W",43.6907676672723,-0.082102634891563,1.19789469342762,-0.0685391089400664,0.945356488823444,0.999436863219939,"YBL011W"
"YBL012C",1.02330172264144,-0.864295576536885,2.59725020210673,-0.332773321505884,0.739305397936657,0.999436863219939,"YBL012C"
"YBL013W",0.797177592648089,-1.99218291726361,5.05627013695364,-0.394002468875978,0.693579216472576,0.999436863219939,"YBL013W"
"YBL014C",18.6598556913139,0.737781698620435,1.89279707169918,0.389783833487296,0.696696399153111,0.999436863219939,"YBL014C"
"YBL015W",23.3942935683133,0.378152591679054,2.00289841988787,0.188802681116611,0.850247470409766,0.999436863219939,"YBL015W"
"YBL016W",42.3522880765933,-0.87182712373925,1.55336651619143,-0.561250107203809,0.574627048722256,0.999436863219939,"YBL016W"
"YBL017C",52.8947583919483,0.400006424592773,1.08108557640395,0.370004404205751,0.711379208842679,0.999436863219939,"YBL017C"
"YBL018C",20.2227042007939,0.207741635429647,1.13515829031955,0.183006755270374,0.854792718194926,0.999436863219939,"YBL018C"
"YBL019W",5.82997560375202,-5.20716645120477,2.66459051989966,-1.95420887836862,0.0506765197709943,0.999436863219939,"YBL019W"
"YBL020W",9.76945882207627,1.28557794610861,2.34989746254067,0.547078315799645,0.584324928968459,0.999436863219939,"YBL020W"
"YBL021C",14.437833165123,3.53649235995919,1.67218144513832,2.11489750124973,0.0344386842123557,0.903327312249324,"YBL021C"
"YBL022C",80.58366940456,0.0850092294576776,0.941360639396391,0.0903046355456143,0.928045136571905,0.999436863219939,"YBL022C"
"YBL023C",9.10931701683108,1.43579702662728,2.31030921820759,0.621473963446857,0.534287820311394,0.999436863219939,"YBL023C"
"YBL024W",54.3213296677975,-1.54012308923193,0.868982147291791,-1.77232995410984,0.0763398017198544,0.999436863219939,"YBL024W"
"YBL025W",2.56547064593445,0.356798758876315,3.03601765823786,0.117521964310117,0.90644643964337,0.999436863219939,"YBL025W"
"YBL026W",14.4225701057518,-0.516471034169252,0.957634449960014,-0.539319605921463,0.589666342857944,0.999436863219939,"YBL026W"
"YBL027W",383.263648578746,-0.136322627885508,0.266001774892749,-0.512487662687485,0.608309752613618,0.999436863219939,"YBL027W"
"YBL028C",3.67252349502942,-0.952366354427647,1.22710523906244,-0.77610813165079,0.437685142788301,0.999436863219939,"YBL028C"
"YBL029W",5.26044610473146,-0.496811941964571,1.41600821597469,-0.350853855478937,0.725697991416465,0.999436863219939,"YBL029W"
"YBL030C",96.0001452465834,0.0249860137386103,0.691475205090491,0.0361343596338216,0.971175225182854,0.999436863219939,"YBL030C"
"YBL031W",4.19594488567707,-3.38150367328223,3.29092779146373,-1.02752290161256,0.304174307233489,0.999436863219939,"YBL031W"
"YBL032W",28.1057246865457,-0.00230123313820844,1.19364836719726,-0.00192789870237233,0.998461760343472,0.999436863219939,"YBL032W"
"YBL033C",20.9391748134539,1.51482040957415,1.77968004865232,0.851175699093366,0.394671759742155,0.999436863219939,"YBL033C"
"YBL034C",19.1839372298118,2.9725800032332,1.72428571147139,1.72394863766318,0.084717115820957,0.999436863219939,"YBL034C"
"YBL035C",3.84452502765404,-0.773328882218328,2.19335580929182,-0.352577944236059,0.724404874968694,0.999436863219939,"YBL035C"
"YBL036C",7.52716817947503,-1.10705456351169,1.33863421236893,-0.827003040324646,0.408235338239428,0.999436863219939,"YBL036C"
"YBL037W",12.1514889428845,-0.847911758511,1.79449592237569,-0.472506929627608,0.63656499669687,0.999436863219939,"YBL037W"
"YBL038W",13.3098682563278,0.846258896095843,1.89877232743027,0.445687396993582,0.655823069574603,0.999436863219939,"YBL038W"
"YBL039C",29.9633551060465,-0.434486621100011,1.11461158199102,-0.389809892629943,0.696677128053926,0.999436863219939,"YBL039C"
"YBL040C",57.5230381877975,0.96988340639626,1.12912727150565,0.858967302333383,0.390358555904521,0.999436863219939,"YBL040C"
"YBL041W",37.1612757044475,-0.122272130937813,0.739136407679166,-0.16542566387947,0.868608955091641,0.999436863219939,"YBL041W"
"YBL042C",13.3132878699861,1.0964209681225,2.21214193656462,0.495637712029094,0.620150040634253,0.999436863219939,"YBL042C"
"YBL043W",0.0287008432991061,0.461241081079202,5.07085675729695,0.0909592014042749,0.927525009182083,0.999436863219939,"YBL043W"
"YBL045C",31.1134600656382,-4.63976112256389,1.19833935544126,-3.87182570738102,0.000108023186656456,0.0165136984319433,"YBL045C"
"YBL046W",10.9950434416147,-3.92692353879296,2.10386398665464,-1.86652918805705,0.0619673643355426,0.999436863219939,"YBL046W"
"YBL047C",98.4105960202601,0.305714655627478,0.881848391616613,0.346674846304407,0.728835609377272,0.999436863219939,"YBL047C"
"YBL048W",2.17652566440022,-2.42384307631615,2.73982872093227,-0.884669562662077,0.376334876430189,0.999436863219939,"YBL048W"
"YBL049W",4.43552683363898,-3.15189778311991,2.86787330479856,-1.09903661986955,0.2717520932316,0.999436863219939,"YBL049W"
"YBL050W",51.6627797192727,0.90628666109128,1.01919453591642,0.889218524191145,0.37388564917961,0.999436863219939,"YBL050W"
"YBL051C",82.2647260965329,-0.805223300793709,0.889657506372413,-0.9050935837961,0.365415810983457,0.999436863219939,"YBL051C"
"YBL052C",24.1396705152784,1.92831941752112,1.766205625622,1.09178647692396,0.274926964354642,0.999436863219939,"YBL052C"
"YBL053W",0.436541616491524,-0.661473691441996,3.14649745773164,-0.210225401522766,0.833491754973216,0.999436863219939,"YBL053W"
"YBL054W",12.7496410320269,2.53010265633931,2.49684816318287,1.01331858846957,0.310908011522547,0.999436863219939,"YBL054W"
"YBL055C",28.2867068432831,-0.685099770244326,1.78022416585988,-0.384839046330668,0.70035666810071,0.999436863219939,"YBL055C"
"YBL056W",115.159394759411,-0.150504149608531,0.740178550332414,-0.203334924446189,0.838873259894889,0.999436863219939,"YBL056W"
"YBL057C",20.0002146757135,0.907345957571914,1.0220341551974,0.887784378787872,0.374656747298764,0.999436863219939,"YBL057C"
"YBL058W",38.7314685064857,-0.60460573887733,1.14658354156192,-0.527310672935102,0.597977863794055,0.999436863219939,"YBL058W"
"YBL059W",1.84101799687025,1.77791625810103,2.86824515837319,0.619862027104205,0.535348627751663,0.999436863219939,"YBL059W"
"YBL060W",11.8918570505971,-3.78528151790681,1.54956690152681,-2.44279967142892,0.0145738245234,0.63422731247088,"YBL060W"
"YBL061C",8.70452356905975,-0.292941457437641,2.1837995404108,-0.134143016342304,0.893289484886824,0.999436863219939,"YBL061C"
"YBL063W",23.1868174351491,-1.21168641356492,1.92010357670747,-0.631052630839154,0.528006112146214,0.999436863219939,"YBL063W"
"YBL064C",69.3575456849967,-0.550855681017531,0.866880568579943,-0.635445874533675,0.52513765675276,0.999436863219939,"YBL064C"
"YBL065W",0.139713775277965,0.0761318300679766,3.41721739879634,0.0222788957163781,0.982225483482819,0.999436863219939,"YBL065W"
"YBL066C",2.15635632446817,-0.961307300501518,2.98453596502839,-0.322096068456114,0.747379916624571,0.999436863219939,"YBL066C"
"YBL067C",25.1827552504997,0.0477483756100703,1.35149472592494,0.0353300495326699,0.971816562220168,0.999436863219939,"YBL067C"
"YBL068W",15.7761832087295,-0.816282118041579,1.73616784630204,-0.470163135309886,0.63823846990549,0.999436863219939,"YBL068W"
"YBL069W",8.95603602269879,-1.36071389311964,2.00542410744399,-0.678516772621198,0.497444092874222,0.999436863219939,"YBL069W"
"YBL070C",0.251966289592172,0.689732195673566,3.836264494663,0.179792659404251,0.857315346657687,0.999436863219939,"YBL070C"
"YBL071C",4.34359513711603,-1.16725769318777,1.51709565300912,-0.769402832888318,0.441654207384617,0.999436863219939,"YBL071C"
"YBL072C",185.731037516093,-0.369925326362457,0.277149057072289,-1.33475224585003,0.181957447705957,0.999436863219939,"YBL072C"
"YBL074C",2.14087830845446,-0.89906646657608,4.03462685311953,-0.222837575643689,0.823661922072372,0.999436863219939,"YBL074C"
"YBL075C",6.05792442178952,-19.1300010847794,2.67099683798853,-7.16212045357036,7.94385716937523e-13,2.05918593233979e-10,"YBL075C"
"YBL076C",127.27218345994,0.408641849367491,0.662042308760284,0.617244311972597,0.537073591973694,0.999436863219939,"YBL076C"
"YBL077W",2.65076659061625,-0.808075380946088,0.665846587306368,-1.21360595120731,0.224898233408005,0.999436863219939,"YBL077W"
"YBL078C",12.7511674811831,0.115892838399327,1.28515928939557,0.0901778008030691,0.928145924834594,0.999436863219939,"YBL078C"
