Geneid,A1,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A2,A20,A21,A22,A23,A25,A26,A27,A28,A29,A3,A30,A31,A32,A33,A34,A35,A36,A37,A38,A4,A5,A6,A7,A8,A9,B1,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B2,B20,B21,B22,B23,B24,B25,B27,B28,B29,B3,B30,B31,B32,B33,B34,B35,B37,B38,B39,B4,B40,B42,B43,B45,B47,B48,B5,B6,B7,B8,B9,C1,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C3,C30,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C5,C6,C7,C8,C9
YAL013W,0,4.440423599693916,0,0,1.8413389416854289,0,5.446996355233401,0,0,1.6046764803298241,4.842410800228436,0,0,0,3.4378534553767803,0,0,0,0,0,0,5.026279739255027,3.993282059154764,0,0,1.581352264582758,0,7.366434350862027,3.4865504525628968,0,0,4.857192391209417,0,0,0,0.9169871012663492,2.9118312906076205,0,4.76775322598268,2.070392111294326,0,0,0,1.845088532920945,5.773610630099355,0,5.594183765492059,0,4.466630889096905,0,0,0,0,0,1.4120451451732217,0.5568173481999183,0,2.5594652517600376,4.0388261280856685,0,0,0,0,0,0,5.891644944689188,0,0,6.518332950742955,2.6750692184080918,5.169891978695655,0,0,0,0,0.9926669392254988,4.274656911092266,5.309306841021599,0,3.9545473229691175,0,0,1.607987571462182,0,0,5.93323549231066,0,3.05484347909398,5.041765436446576,6.160033687257985,0,6.912531515686595,0,0,3.535271227628116,0,1.3692660102887022,6.056315029437355,0,4.223201245667108,0,4.422108685704176,2.2338959582068845,4.693629981389412,6.728980817252317,6.8304699426827105,4.388331147198853,4.812603844066809,6.090053479847154,0,0,0,5.839689306333032,0,0,7.482123130390453,0,7.336259307184126,0,0,0,0,0,3.9384243823535403,5.205490317921828
YAL014C,0,0,0,0,6.763447240020128,0,3.615738807344378,0,0,0.5948531634394936,0,0,6.4197600632719976,0,0,0,0,6.139369905396047,0,0,0,0,0,0,0,0,0,0,5.078595598797616,0,0,0,0,0,0,0,0,0,0,0,4.656986266915491,5.2988029005837465,0,5.628902587240531,0,1.8962258829538354,5.918210719500917,0,5.983556182190788,5.199019745905674,4.371465823012072,0,0,6.322384593978998,0,0,6.110163639533785,0,5.45545892563429,0,0,0,1.35799124617558,2.1965850287949347,0,0.5420203382985301,0,2.3706333305868625,6.8862042288133996,0,0,0,0,0,3.017390825319783,0,0,5.889128667566417,0,0,3.782087116302217,0,8.084121516617463,0,0,0,0,5.590438587525377,0,7.297309158268937,0,0,0,0,6.710532912408749,0,0,0,0,0,0,4.1563496755819,0,0,0,0,0,0,0,6.745816871991065,5.499269899209522,0,0,7.1319744432002095,3.966756081020556,8.107303581639544,0,0,5.2687598695847555,7.585825603444114,0,0,4.45010718158089,5.909708910779535,5.369131949502733
YAL015C,0,0,0,0,0,6.132542069183306,0,0,0,0,0,0,0,0,0,6.328304223964084,2.634019213940598,0.8185551487141494,0,0,0,0,0,0,0,0,5.568577788497629,3.6067611311302374,0,0,0,0,0,0,0,0,0,0,4.370261518435103,0,5.809026485174229,1.6467756801169249,0,4.908755253413906,4.799744580744491,0,3.98806300325291,0,0,5.421077463087096,0,0,0,0,0,6.499748549953485,0,6.477483807412172,0,0,0,0,0,0,0,0,0,1.030632912335303,4.896427976543181,0,0,0,0,7.603776453345434,0,4.686304435151038,0,0,0,0,2.1136658133675597,0,0,0,0,0,0,5.794221223789697,0,0,2.6934285357454355,0,0,0,7.313091088942054,0,0,0,0,0,0,0,0,0,0,0,0,2.8588405664565406,0,0,0,0,0,6.852051229199734,0,8.340983884583093,0,0,0,0,0,0,0,0,3.7920796565512873
YAL016W,5.875719389057571,4.199388973855804,3.3402970194352193,4.25121950357504,4.650302823594355,0,0,4.714699112761484,1.06582322740338,2.832652340022407,8.327106267175207,0,3.194635811791575,0,0.46292613052287235,6.194717274265967,0,0,0,0.8997666628398805,0,0,0,0,2.400921509422895,0,0,0,4.481913635084263,7.686707597278222,0,7.115322292454931,0.9955979690748374,0,0,0,0,7.676696383049653,5.029513523978867,1.1890358753190107,2.927477531373776,0,0,4.722955014953286,5.903216105900473,4.245474155565458,4.31637122192805,2.2381453981303063,3.594880561151349,0,1.6729867257325266,0,5.957845957260173,0,7.162939525808969,0,0.7732793870225472,5.544907379064197,0,0,0,0,0,0,0,0,5.724204095028307,0,0,0,0,0,6.683129876505861,0,6.498608891458351,4.767193438004043,4.560173285345854,4.752749857059693,0,6.33576092583684,5.746626798198923,0,0,0,0,0,0,5.894327156188777,6.6865243548227555,3.3786604452244733,6.532896273131793,0,0,0,0,0,1.0395553431357984,0,0,4.704698565673714,0,6.360214808073559,0,3.0812151224836515,0,0,0,0,0,0,5.141691056195346,8.708994428884326,0,4.272312239561534,3.0561957964427298,0,7.032546663910684,0,0,0,0,0,0,1.7606803158414592,3.83751352243529
YAL017W,0,4.032717991301064,0,0,0,0,0,0,7.954779525257795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.859920304095976,0,4.6952297605480355,0,0,0,0,0,7.9249615255680315,4.874125298281905,0,7.341178649163877,5.613563172003484,0,1.7635606916641422,0,4.662209008587231,2.927477531373776,1.0466063967925379,0,0,0.36251688155447803,0,0,0,0,0,0,0,0,6.721336504890375,5.372294180624345,0,1.6449874250344325,0,0,0,0,0,0,5.459666384806419,0,0.5420203382985301,0,8.194843907445195,0,0,0,6.146814533063446,0,0,4.084769471242404,0,7.301277052713788,1.7257663060328516,0,0,5.05179235423604,6.106743281432547,0,1.7718035491049207,0,7.111328347775178,2.104325301554534,3.455247323089971,0,8.032760818982304,1.90081620852355,0,0,7.023377141978571,0,5.766364964187379,0,0,6.725722723081402,5.99769237043209,0,4.840544720309776,0,0,0,2.251051781681757,5.187947562556651,5.3062736247123,5.258900294868345,6.577571210182963,7.287833594055796,0,0,7.223261869551941,0,5.058553520145521,8.232061116948302,0,5.240377023456972,3.3999564975437835,0,0,7.211077124528123,7.685243792040333,0
YAL019W,7.9197487708386465,0.7382320964652002,0,6.940084266701362,4.9606948162736995,6.61758443684887,4.651101740372043,6.4059578875654095,0,0.5948531634394936,0,6.430970671676559,0,8.238691059095155,0,1.7522290297194847,2.0442254291189856,4.02438853728289,0,0,6.428881907104595,0,0,2.274091681746223,0,0,7.112219819173162,0,0,0,0,5.2785952407385315,0,0,4.828427870938765,0,7.030102734470983,6.44679603652829,0,0,1.6792422026204121,7.742363515992221,0,4.259215961735227,4.708114668866494,1.0627797289570777,0,0,1.8634457970701694,5.758353656499115,0,0,0,0,0,0,0,0,0,0,7.006153153885951,7.848976106707842,0,0,4.628617510602553,0,0,0,0,2.6750692184080918,0,0,3.3576752985914213,0,0,4.3783174168487715,0,4.2824740010212015,1.359422831280865,0,3.66079582581583,4.731614942899758,0,0,0,0,6.3693646141461,0,0,0,1.90081620852355,0,0,5.521324797196733,3.7397764090191856,0,4.321978005546641,0,0,4.954662528085507,0,2.2037439261646967,0,0,0,0,0,2.370037940232061,0,0,6.044260068945137,0,0,0,0,0,0,0,4.99064683588992,0,0,5.931736762728818,4.66303976221447,4.975188999227374,5.305884804037304
YAL020C,0,0,0,0,6.862859979064409,0,0,5.422871672279349,0,1.0148106820233502,0,0,0,4.308611802936092,6.288732361697288,0,0,6.315689392581732,8.24818318053789,0,5.517874924943916,0,0,0,0,0,7.233364617212294,0,0,0,0,0,6.409138421345649,4.76329505709702,0,0,0,0,3.6333735130285447,6.8364327524096975,0,0,0,0,0,4.672506390327273,0,9.218839984728113,0,0,0,5.339382916168916,0,7.86404710349544,0,0,5.502136513125867,0,4.740247776983691,0,0,0,0,0,6.9864998463385115,0,3.443446221937537,0,0,0,0,0,0,7.882574951989381,0,5.11500162048139,0,0,0,0,4.094644021625911,4.016226155084123,0,0,0,7.316387352228334,0,6.634482041046768,0,0,0,0,0,0,0,7.333548448934341,6.763817707533078,0,0,6.546842544271132,0,6.239152546912667,0,6.587315288248359,6.546409645660957,0,7.065518854326285,7.372404692352691,0,0,0,0,6.416230129489984,7.084069087894731,0,0,0,0,5.702426699135154,7.220272363071165,6.965103555044907,3.79350069536996,6.476839221526235,6.0593102069508396,6.359380985136269
YAL021C,2.8728698879446597,7.687312983753009,4.503305926746403,2.1319642051911423,6.035307437999564,3.8159856773792784,4.696554048811773,5.945322348225076,0,3.19615089522724,0,3.8503852030121855,3.726092543463257,1.4385951197967997,0,0,1.624340412401924,0,0,3.974344955554136,7.529493115464307,1.7523711078331425,4.907954617393566,0,0,0,1.5945059090060265,7.285033817854948,2.236420409414921,0,0,2.8177516709705577,5.09996326265781,0,6.5803860874645075,8.895332485695294,0,4.151165260520595,0,0,5.135052602205467,5.733831314934288,2.6297863412426845,5.716873613840973,6.981941210987671,0,0,6.715636033095194,3.594880561151349,0,3.468349574340272,0,2.8785249489939253,0,3.526139179956733,3.7779512863994578,0,7.3373150744130236,3.7011189081678397,0,3.3245919064481444,0,4.864881705754078,2.1965850287949347,2.7937566788578123,0,1.404066592112018,4.0569133253203375,7.651363161325417,1.8849287178966265,0,0,0,0,4.610000866147134,5.252466768542211,4.93785623301833,2.4893156510987926,5.520013148909546,3.690843073112341,5.211487537738554,0,0,9.296571012410181,0,0,0,3.165833822208625,7.664929076032902,0,0,8.590944712301264,0,0,6.5566811694938725,0,7.362970127851747,8.853510572316463,0,0,0,3.563182351937126,0,0.6977196793808466,0,0,6.122865305719921,6.013140540309022,0,3.679612758440868,7.091740990747757,0,0,4.272312239561534,3.343010539011751,7.606981421507115,0,0,0,0,6.224472996895499,5.931736762728818,0,1.4810064926615785,5.759767438062246
YAL022C,0.8404842647735569,0,0,0,5.0383586974569665,3.083481274374594,0,5.711714510793717,7.545905747163893,6.158337077039209,0,0,0,3.255929587039544,0,0,0,0,0,0,0,0,3.0811409405273085,0,0,0,0,0,3.446172979478256,6.497043777410524,0,6.77023397486066,6.002546838796527,0,0,0,3.0602972976859437,0,0,0,5.528359885712796,0,0,4.558079302341394,0,6.154563769214789,1.888812179461609,0,2.23089778365917,0,0,3.883677782664416,0,0,0,1.9358832446118046,0,0,5.069875887998889,1.9003728464385834,1.83863271030025,0,0,0,0,0,0,0,0,0,0,6.724974021031847,0,0,0,0,0,0,0,0,0,5.790039330008833,0,0,0,4.298768791792869,4.86045196781726,0,0,0,0,7.706290673313465,2.86236696033472,0,0,0,0,0,0,0,0,3.7029281862935233,0,0,0,8.296265295391615,0,0,0,0,0,5.613328402711607,0,8.191550573627115,3.5821520863572855,0,0,0,5.878508400773617,8.358801795126503,0,4.000952592574369,6.749653930051258,7.2822588682977525,0
YAL023C,6.902045418221031,4.7579346077309,0,0,0,0,0,6.033044943637522,0,0,3.6145373303463173,3.8503852030121855,0,2.971271569665756,0,9.16552597201883,6.687446769286389,7.367915722706296,0,0,7.342950227846001,7.742953756123397,7.964405260379554,7.541243080023457,1.0498753811424077,5.722604135949594,6.604107094289947,3.5422807702298895,5.130481519590839,7.481582693274196,0,3.625846358815992,0,4.989769823892922,0,6.32277449468665,0,0,6.892428983628551,7.248310749274525,4.7777438461164845,0,5.701231381943633,6.328013312062114,4.967200384709485,4.286304066177423,0,0,0,4.12566447756311,4.243948746926608,3.996131573602263,2.313604748383354,5.093376335501316,0,6.2986286597766314,0,0,5.45545892563429,8.373755601439186,0,4.571279716827788,0,7.100024593898718,3.8130657391087834,3.3391661098344967,0,6.814966544210363,5.662520544568741,6.446042723751574,0,0,2.783859148499644,7.7826135933951095,8.088025582767768,3.893171925338988,6.133098408896491,6.035879314996464,7.470994706749055,5.895619593778058,5.5556902179406755,0,0,0,0,4.038484410529979,2.104325301554534,0,0,0,7.235534271050415,3.435556813891067,9.673078777987463,6.852206212182378,7.500588430328657,3.7713346873542877,2.2309957810708747,3.400404993418525,6.958141864494158,6.514771715979225,3.3767891162235317,0,0,2.242338724856195,8.747246346614814,0,0,7.942285193225144,0,6.642983886966129,7.1570714020582304,0,0,0,0,0,7.558624959060981,0,6.372688855499485,0,0,0,5.251013296492501,0,5.289630078442674
